"Timestamp","Name of tutorial","tutorial URL","tutorial description"
"2019/09/19 3:50:04 AM GMT+1","Zero to Sixty in Racket","http://prl.ccs.neu.edu/blog/2016/08/02/tutorial-zero-to-sixty-in-racket/","Starts with a script, adds tests, types, and a command line interface"
"2019/09/19 10:29:46 AM GMT+1","Quick: An Introduction to Racket with Pictures","https://docs.racket-lang.org/quick/","This tutorial provides a brief introduction to the Racket programming language by using one of its picture-drawing libraries. "
"2019/09/19 10:31:24 AM GMT+1","Learn X in Y minutes Where X=racket","https://learnxinyminutes.com/docs/racket/",""
"2019/09/19 10:32:20 AM GMT+1","Continue: Web Applications in Racke","https://docs.racket-lang.org/continue/index.html","How do we make dynamic web applications? In this tutorial, we show how to use Racket to achieve this goal. We explain how to start up a web server, how to generate dynamic web content, and how to interact with the user. Our working example will be a simple web journal—a “blog.”"
"2019/09/19 10:33:27 AM GMT+1","More: Systems Programming with Racket","https://docs.racket-lang.org/more/index.html","Underneath the graphical facade of DrRacket lies a sophisticated toolbox for managing threads and processes, which is the subject of this tutorial."
"2019/09/19 10:34:37 AM GMT+1","At-expressions","http://www.greghendershott.com/2015/08/at-expressions.html","at-expressions are a general, alternative way to write s-expressions."
"2019/09/19 10:35:35 AM GMT+1","`__FILE__` and `__LINE__` in Racket","http://www.greghendershott.com/2014/06/file-and-line-in-racket.html",""
"2019/09/19 10:36:28 AM GMT+1","Does your Racket project need a makefile?","http://www.greghendershott.com/2014/06/does-your-racket-project-need-a-makefile.html",""
"2019/09/19 10:36:52 AM GMT+1","Racket Makefiles","http://www.greghendershott.com/2017/04/racket-makefiles.html",""
"2019/09/19 10:37:55 AM GMT+1","Fallback when required function not available","http://www.greghendershott.com/2014/06/fallback-when-required-function-not-available.html",""
"2019/09/19 10:38:21 AM GMT+1","Using syntax/loc and unit test macros","http://www.greghendershott.com/2014/01/syntax-loc-and-unit-tests.html",""
"2019/09/19 10:38:39 AM GMT+1","Using call/input-url","http://www.greghendershott.com/2013/08/using-call-input-url.html",""
"2019/09/19 10:39:23 AM GMT+1","Thread names","http://www.greghendershott.com/2018/11/thread-names.html",""
"2019/09/19 10:42:02 AM GMT+1","racket-mode","http://www.greghendershott.com/2018/10/racket-mode.html",""
"2019/09/19 10:47:56 AM GMT+1","Fear of Macros","http://www.greghendershott.com/2013/01/fear-of-macros.html",""
"2019/09/19 10:49:30 AM GMT+1","Teach Yourself Racket","https://cs.uwaterloo.ca/~plragde/flaneries/TYR/","This document offers a quick, shallow, and incomplete introduction to the language for mature programmers with experience in an imperative language (C, C++, Java, Python, etc.)."
"2019/09/19 10:51:12 AM GMT+1","Learn Racket by Example: GUI Programming ","https://dev.to/goober99/learn-racket-by-example-gui-programming-3epm","Racket is a Scheme-like dialect of Lisp that has a powerful cross-platform GUI library built in. Instead of building yet another calculator, let's build a GUI front end for the Linux command line tool beep that can be used to control the PC speaker."
"2019/09/19 10:56:58 AM GMT+1","Racket Programming - Introduction to Racket: calling and defining functions, if, cond.","https://youtu.be/FoPW4Ji6EAM",""
"2019/09/19 10:57:26 AM GMT+1","Low-level web programming in Racket + a wiki in 500 lines ","http://matt.might.net/articles/low-level-web-in-racket/",""
"2019/09/19 10:59:27 AM GMT+1","7 lines of code, 3 minutes: Implement a programming language from scratch","http://matt.might.net/articles/implementing-a-programming-language/",""
"2019/09/19 11:00:55 AM GMT+1","Continuations by example: Exceptions, time-traveling search, generators, threads, and coroutines ","http://matt.might.net/articles/programming-with-continuations--exceptions-backtracking-search-threads-generators-coroutines/",""
"2019/09/19 11:01:55 AM GMT+1","A regular expression matcher in Scheme using derivatives","http://matt.might.net/articles/implementation-of-regular-expression-matching-in-scheme-with-derivatives/",""
"2019/09/19 11:02:30 AM GMT+1","Building a snowman with Racket","https://dustycloud.org/misc/digital-humanities/Snowman.html",""
"2019/09/19 11:06:44 AM GMT+1","Beautiful Racket","https://beautifulracket.com/",""
